rate,small_inst,small_sla,small_total,big_inst,big_sla,big_total,aiml_inst,aiml_sla,aiml_total
0.1,21664.23469,0.335535171,21664.57022,54160.58672,2.13E-15,5.42E+04,21185.60906,0.335535171,21185.9446
0.3,22304.07488,9.072123783,22313.147,55351.97561,0.027020549,5.54E+04,23407.30855,8.94395123,23416.2525
0.5,25602.16184,1563.770203,27165.93204,55790.12032,0.094960369,5.58E+04,30546.27544,125.5813594,30671.8568
0.7,32048.54717,9951.755867,42000.30304,55667.65751,3.163821544,5.57E+04,40020.94943,437.5411881,40458.49062
0.9,38251.71182,23618.15174,61869.86356,56606.06505,17.74084675,5.66E+04,45948.5713,634.0800542,46582.65136
1.1,43645.75386,38619.69835,82265.45221,58221.29659,215.4297442,5.84E+04,50148.10414,1261.616392,51409.72054
