rate,small_inst,small_inst_ci,small_sla,small_sla_ci,small_total,small_total_ci,big_inst,big_inst_ci,big_sla,big_sla_ci,big_total,big_total_ci,aiml_inst,aiml_inst_ci,aiml_sla,aiml_sla_ci,aiml_total,aiml_total_ci
0.1, 21664.23469, 197.0, 0.335535171, 0.2, 21664.57022, 197.0, 54160.58672, 498.0, 2.13E-15, 0.0, 5.42E+04, 498.0 , 21185.60906, 319.0, 0.335535171, 0.5, 21185.9446, 319.0
0.3, 22304.07488, 151.0, 9.072123783, 21.0, 22313.147, 147.0, 55351.97561, 245.0, 0.027020549, 0.0, 5.54E+04, 245.0, 23407.30855, 202.0, 8.94395123, 21.0, 23416.2525, 201.0
0.5, 25602.16184, 480.0, 1563.770203, 411.0, 27165.93204, 841.0, 55790.12032, 199.0, 0.094960369, 0.0, 5.58E+04, 199.0, 30546.27544, 1572.0, 125.5813594, 100.0, 30671.8568, 1670.0
0.7, 32048.54717, 960.0, 9951.755867, 1433.0, 42000.30304, 2341.0, 55667.65751, 241.0, 3.163821544, 1.0, 5.57E+04, 241.0, 40020.94943, 874.0, 437.5411881,258.0, 40458.49062, 1108
0.9, 38251.71182, 1099.0,23618.15174, 2402.0, 61869.86356, 3428.0, 56606.06505, 492.0, 17.74084675, 0.0, 5.66E+04, 492.0, 45948.5713, 1336.0, 634.0800542, 452.0, 46582.65136, 1620.0
1.1, 43645.75386, 1212.0, 38619.69835, 3408.0, 82265.45221, 4546.0, 58221.29659, 733.0, 215.4297442, 120.0, 5.84E+04, 820.0, 50148.10414, 1542.0, 1261.616392, 660.0, 51409.72054, 1985.0
