h,m,s,,small_inst,small_empt,small_delay,small_delay,,big_inst,big_empt,big_delay,big_delay,,aiml_inst,aiml_empt,aiml_delay,aiml_delay
17,55,12,,2,0,11.3066367,113.066367,,5,4,0.0204433,0.204433,,2,0,0.1054231,1.054231
18,9,36,,2,0,11.7203662,117.203662,,5,0,0.0456288,0.456288,,2,0,0.2127236,2.127236
18,23,60,,2,0,11.9695924,119.695924,,5,1,0.0181988,0.181988,,2,0,0.3527393,3.527393
18,38,24,,2,0,12.6632186,126.632186,,5,5,0.0182148,0.182148,,2,2,0.0182148,0.182148
18,52,48,,2,0,13.4548679,134.548679,,5,1,0.250073,2.50073,,2,0,0.6275568,6.275568
19,7,12,,2,0,13.8869467,138.869467,,5,1,0.7681515,7.681515,,2,0,1.2058045,12.058045
19,21,36,,2,0,14.5008577,145.008577,,5,5,0.0239024,0.239024,,2,0,1.6974992,16.974992
19,36,0,,2,0,14.6348499,146.348499,,5,2,0.1020424,1.020424,,2,0,2.2998827,22.998827
19,50,24,,2,0,15.3412034,153.412034,,5,4,0.1653089,1.653089,,2,0,2.6211976,26.211976
20,4,48,,2,0,15.5436394,155.436394,,5,2,0.0568949,0.568949,,2,0,2.3892172,23.892172
20,19,12,,2,0,15.9078822,159.078822,,5,2,0.0375342,0.375342,,2,0,2.6098599,26.098599
20,33,36,,2,0,16.0525477,160.525477,,5,4,0.0264478,0.264478,,2,0,2.8182746,28.182746
20,48,0,,2,0,16.6750752,166.750752,,5,0,0.2343911,2.343911,,5,0,1.2085889,12.085889
21,2,24,,2,0,17.1737654,171.737654,,5,1,0.0525114,0.525114,,5,0,0.6105713,6.105713
21,16,48,,2,0,17.9039648,179.039648,,5,2,0.1304228,1.304228,,2,0,0.2764347,2.764347
21,31,12,,2,0,17.6339071,176.339071,,5,1,0.0381554,0.381554,,2,0,0.0381554,0.381554
21,45,36,,2,0,18.1548706,181.548706,,5,2,0.2083035,2.083035,,2,0,0.2864793,2.864793
